manufacturers_id	finial_name	finial_image_url	rod_type	finish
8	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AB/ClassicABAcorn.jpg		Antique Brass
8	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AP/ClassicAPAcorn.jpg		Antique Pewter
8	Round	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AP/ClassicAPRound.jpg		Antique Pewter
8	Crown	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AP/ClassicAPCrown.jpg		Antique Pewter
8	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AP/ClassicAPUrn.jpg		Antique Pewter
8	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AP/ClassicAPAcorn.jpg		Antique Pewter
9	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Regency%20WH/PB/Reg_PB_Pine.jpg		Polished Brass
9	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Regency%20WH/PB/Reg_PB_Ball.jpg		Polished Brass
9	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Regency%20WH/PB/Reg_PB_Urn.jpg		Polished Brass
9	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Regency%20WH/PB/Reg_PB_Ball.jpg		Polished Brass
